State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,season,days
Karnataka,Kolar,Kolar,Tomato,Vegetables,598,400,1670,930,03-Jan-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,783,330,1330,800,04-Jan-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,631,330,1200,530,05-Jan-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,688,330,1330,670,06-Jan-23,Winter,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,441,330,1270,670,07-Jan-23,Winter,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,514,330,1530,800,08-Jan-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,550,330,1330,800,09-Jan-23,Winter,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,460,330,1470,800,10-Jan-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,506,330,1470,800,11-Jan-23,Winter,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,450,530,2000,1200,12-Jan-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,499,600,5330,1330,13-Jan-23,Winter,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,445,530,2200,1330,14-Jan-23,Winter,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,323,670,2530,1400,15-Jan-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,233,670,3000,1670,16-Jan-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,390,670,3000,1670,17-Jan-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,506,670,2670,1330,18-Jan-23,Winter,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,523,530,2670,1470,19-Jan-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,556,530,2530,1330,20-Jan-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,693,400,2330,1200,21-Jan-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,686,530,2000,1200,22-Jan-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,601,470,1670,1000,23-Jan-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,684,330,1670,930,24-Jan-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,647,470,1530,870,25-Jan-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,597,400,1670,930,26-Jan-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,555,400,1530,870,27-Jan-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,530,400,1670,930,28-Jan-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,453,400,1670,930,29-Jan-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,496,400,1800,1000,30-Jan-23,Winter,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,487,400,1870,1070,31-Jan-23,Winter,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,589,400,1670,930,01-Feb-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,600,400,1730,1000,02-Feb-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,563,400,1530,870,03-Feb-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,497,330,1470,800,04-Feb-23,Winter,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,486,400,1600,870,05-Feb-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,496,400,1530,930,06-Feb-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,388,400,1730,1000,07-Feb-23,Winter,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,470,400,1870,1070,08-Feb-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,513,400,1670,930,09-Feb-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,442,400,1870,1000,10-Feb-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,447,400,1930,1070,11-Feb-23,Winter,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,487,530,2130,1200,12-Feb-23,Winter,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,514,530,2200,1200,13-Feb-23,Winter,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,494,600,2270,1270,14-Feb-23,Winter,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,528,530,2000,1130,15-Feb-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,407,400,2000,1070,16-Feb-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,467,530,2200,1270,17-Feb-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,427,530,2330,1330,18-Feb-23,Winter,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,457,530,2470,1400,19-Feb-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,414,670,2600,1470,20-Feb-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,589,530,2270,1330,21-Feb-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,561,530,2330,1400,22-Feb-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,625,400,1670,1000,23-Feb-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,625,400,1670,1000,24-Feb-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,488,530,1800,1130,25-Feb-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,509,400,2000,1200,26-Feb-23,Winter,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,395,400,1730,1000,27-Feb-23,Winter,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,351,530,2000,1130,28-Feb-23,Winter,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,334,530,2000,1200,01-Mar-23,Summer,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,368,530,2270,1270,02-Mar-23,Summer,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,461,530,1930,1200,03-Mar-23,Summer,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,467,400,1670,1000,04-Mar-23,Summer,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,386,400,1670,1000,05-Mar-23,Summer,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,388,330,1670,1000,06-Mar-23,Summer,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,373,400,1800,1130,07-Mar-23,Summer,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,342,400,2000,1200,08-Mar-23,Summer,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,287,400,1800,1000,09-Mar-23,Summer,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,351,530,2000,1270,10-Mar-23,Summer,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,370,400,1870,1200,11-Mar-23,Summer,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,295,400,1670,1000,12-Mar-23,Summer,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,368,330,1430,930,13-Mar-23,Summer,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,446,330,1330,870,14-Mar-23,Summer,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,343,330,1330,930,15-Mar-23,Summer,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,396,330,1200,730,16-Mar-23,Summer,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,316,330,1130,670,17-Mar-23,Summer,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,333,330,1330,730,18-Mar-23,Summer,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,320,330,1200,670,19-Mar-23,Summer,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,422,330,1200,670,20-Mar-23,Summer,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,554,330,1200,600,21-Mar-23,Summer,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,357,330,1200,670,22-Mar-23,Summer,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,240,330,1330,730,23-Mar-23,Summer,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,246,330,1000,600,24-Mar-23,Summer,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,570,300,1000,600,25-Mar-23,Summer,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,569,300,800,530,26-Mar-23,Summer,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,408,300,870,530,27-Mar-23,Summer,Friday
Karnataka,Kolar,Kolar,Tomato,Vegetables,462,300,800,570,28-Mar-23,Summer,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,452,300,800,530,29-Mar-23,Summer,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,452,300,800,530,30-Mar-23,Summer,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,273,300,870,530,31-Mar-23,Summer,Sunday
Karnataka,Kolar,Kolar,Tomato,Vegetables,494,330,930,530,01-Apr-23,Summer,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,445,300,800,470,02-Apr-23,Summer,Saturday
Karnataka,Kolar,Kolar,Tomato,Vegetables,525,300,730,470,03-Apr-23,Summer,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,508,300,800,530,04-Apr-23,Summer,Thursday
Karnataka,Kolar,Kolar,Tomato,Vegetables,538,300,730,470,05-Apr-23,Summer,Monday
Karnataka,Kolar,Kolar,Tomato,Vegetables,513,300,670,470,06-Apr-23,Summer,Wednesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,550,300,670,400,07-Apr-23,Summer,Tuesday
Karnataka,Kolar,Kolar,Tomato,Vegetables,465,300,670,470,08-Apr-23,Summer,Wednesday
